date,bike_score,bus_score,gmap_score,hystreet_score,nationalExpress_score,national_score,regional_score,suburban_score,webcam_score,zug_score
2020-02-29,,1.0,,0.8310862330215676,0.9731895786134616,0.9703614305892854,0.9786230375778925,0.974764743205853,,0.9796317413880198
2020-03-01,,,,,0.9615530404621716,0.9743150048920728,0.9865189820541398,0.9879011204124406,,0.9858570525259259
2020-03-02,,1.0,,,0.9572814194930309,0.9798805709557966,0.9844354902915531,0.9826587744185693,,0.9840829722444274
2020-03-03,,1.0,,,0.9113263000529336,0.9896142317282343,0.9886587301000506,0.9807804020088107,,0.98664662773912
2020-03-04,,1.0,,0.7760257309426978,0.9640838483588963,0.9897711129766575,0.9865692560130871,0.9942260823779294,,0.988257780869296
2020-03-05,,1.0,,0.8979267029040221,0.961958496381375,0.9947350933767437,0.9908904540854647,0.9905427075038,,0.9906101731560077
2020-03-06,,1.0,,0.904612305406675,0.9318642828984446,0.9668483850284166,0.987864699323114,0.9896828286387978,,0.9886463354222822
2020-03-07,,1.0,,0.9285056869384067,0.9621266918701055,0.9495252002490043,0.9867639631586923,0.98957174795182,,0.9868431600287187
2020-03-08,,,,0.7390438380638998,,,,,,
2020-03-09,,,,0.7451947938885766,,,,,,
2020-03-10,,,,0.9293094576500956,,,,,,
2020-03-11,,1.0,,0.7878458919858419,0.9647821654550418,0.9824278205119074,0.9838707989804908,0.9862435865504762,,0.9851588970220652
2020-03-12,,1.0,,0.8850267064749872,0.914988796852733,0.9711160702981765,0.9833993711283622,0.98868036046298,,0.9839843071513463
2020-03-13,,1.0,,0.629546173301772,0.9176661526096405,0.9685630718258482,0.9843354292427513,0.98799178813024,,0.9832871575073479
2020-03-14,,1.0,,0.9086682791840439,0.9360128083893964,0.9339656108230034,0.984022934859323,0.9864135124789857,,0.9835511488216466
2020-03-15,,,,0.8809408277845755,0.9384939282743373,0.921198014329862,0.9865731137462005,0.9814338091948022,,0.9827009385368204
2020-03-16,,1.0,,0.7448187520086946,0.9192586599248777,0.8993611334242271,0.9717809643403191,0.9590381532604072,,0.9683110539670216
2020-03-17,,1.0,,0.663439954630252,0.9160526907761748,0.897194121472061,0.9691917980588803,0.9707723120233313,,0.9699463154281599
2020-03-18,,1.0,,0.6603285069254191,0.9334973566528921,0.9021693727903797,0.964029464123265,0.9664923272464263,,0.9633825879076474
2020-03-19,,1.0,,0.7592522854301832,0.937709188507191,0.8822437230654334,0.9627188185744624,0.9617689811979693,,0.9616444594147507
2020-03-20,,0.9333333333333332,,0.6342184844913646,0.8481775653918621,0.8488754437822085,0.9580984754525397,0.9390701523546366,,0.9522915546023378
2020-03-21,,1.0,,0.45915059660858876,0.8530902733709446,0.7330559305708619,0.9148320121881555,0.8654291248877438,,0.904050956123267
2020-03-22,0.7263994862242589,0.9821428571428571,,,0.8721548517202301,0.8055557345544444,0.9068271307969147,0.8655980521793118,0.200960219478738,0.9061937550778245
2020-03-23,0.7353088177675775,1.0,0.47379091585374317,0.23546204633317122,0.9338933242657969,0.9857179676446879,0.8765448887194953,0.8124216536799668,0.3778011204481792,0.8734624676965691
2020-03-24,0.9352803082451465,,0.4590453283846938,0.10327701770623181,,,,,,
2020-03-25,1.025598263298058,1.0,0.4399120141343945,0.2259198028562933,0.8874100901856483,0.989161805286697,0.878556005627276,0.8005655782808621,,0.8654228304700828
2020-03-26,0.9974976144873513,1.0,0.40815648816738803,0.22409617002942758,0.928260095406505,0.9497084125810535,0.8803530381212278,0.8051924102290897,,0.8670191171600455
2020-03-27,1.2016396849988422,1.0,0.39212265511430405,0.2330291600294088,0.9361067684535376,0.988209843994399,0.9531615559381112,0.9317573342363163,0.41232253585194767,0.9498335597920261
2020-03-28,1.823253947238731,,0.4204036332924315,0.23525078393925888,,,,,0.2880588826782598,
2020-03-29,,,0.3827244217299565,0.22989171565365266,,,,,0.1611011188100971,
