,0
0,Nürnberg
1,Braunschweig
2,Chemnitz1
3,Halle (Saale)
4,Magdeburg
5,Freiburg im Breisgau
6,Krefeld
7,Lübeck
8,Mainz
9,Erfurt
10,Oberhausen
11,Rostock
12,Hagen
13,Hamm
14,Potsdam
15,Ludwigshafen am Rhein
16,Mülheim an der Ruhr
17,Oldenburg
18,Osnabrück
19,Leverkusen
20,Heidelberg
21,Solingen
22,Darmstadt
23,Herne
24,Neuss
25,Regensburg
26,Paderborn
27,Offenbach am Main
28,Würzburg
29,Fürth
30,Ulm
31,Heilbronn
32,Pforzheim
33,Göttingen
34,Bottrop
35,Reutlingen
36,Bremerhaven
37,Recklinghausen
38,Bergisch Gladbach
39,Erlangen
40,Jena
41,Remscheid
42,Trier
43,Salzgitter
44,Moers
45,Siegen
46,Hildesheim
47,Cottbus
48,Gütersloh
49,Kaiserslautern
50,Witten
51,Hanau
52,Schwerin
53,Gera
54,Esslingen am Neckar
55,Ludwigsburg
56,Iserlohn
57,Düren
58,Tübingen
59,Zwickau
60,Flensburg
61,Gießen
62,Ratingen
63,Lünen
64,Villingen-Schwenningen3
65,Konstanz
66,Marl
67,Worms
68,Velbert
69,Minden
70,Dessau-Roßlau2
71,Neumünster
72,Norderstedt
73,Delmenhorst
74,Bamberg
75,Viersen
76,Marburg
77,Wilhelmshaven
78,Rheine
79,Gladbeck
80,Lüneburg
81,Troisdorf
82,Dorsten
83,Bayreuth
84,Detmold
85,Arnsberg
86,Castrop-Rauxel
87,Lüdenscheid
88,Landshut
89,Brandenburg an der Havel
90,Bocholt
91,Aschaffenburg
92,Celle
93,Kempten (Allgäu)
94,Fulda
95,Aalen
96,Lippstadt
97,Dinslaken
98,Herford
99,Kerpen
100,Rüsselsheim am Main
101,Weimar
102,Plauen
103,Sindelfingen
104,Neuwied
105,Dormagen
106,Neubrandenburg
107,Grevenbroich
108,Rosenheim
109,Herten
110,Bergheim
111,Schwäbisch Gmünd
112,Friedrichshafen
113,Garbsen
114,Wesel
115,Hürth
116,Offenburg
117,Stralsund
118,Greifswald
119,Langenfeld (Rheinland)
120,Neu-Ulm
121,Unna
122,Euskirchen
123,Frankfurt (Oder)
124,Göppingen
125,Hameln
126,Stolberg (Rheinland)
127,Eschweiler
128,Görlitz
129,Meerbusch
130,Sankt Augustin
131,Hilden
132,Waiblingen
133,Baden-Baden
134,Hattingen
135,Lingen (Ems)
136,Bad Homburg vor der Höhe
137,Langenhagen
138,Bad Salzuflen
139,Pulheim
140,Schweinfurt
141,Nordhorn
142,Neustadt an der Weinstraße
143,Wetzlar
144,Menden (Sauerland)
145,Ahlen
146,Frechen
147,Passau
148,Wolfenbüttel
149,Ibbenbüren
150,Kleve
151,Bad Kreuznach
152,Goslar
153,Gummersbach
154,Ravensburg
155,Willich
156,Speyer
157,Emden
158,Böblingen
159,Peine
160,Elmshorn
161,Erftstadt
162,Rastatt
163,Heidenheim an der Brenz
164,Lörrach
165,Leonberg
166,Bergkamen
167,Bad Oeynhausen
168,Freising
169,Frankenthal (Pfalz)
170,Rheda-Wiedenbrück
171,Cuxhaven
172,Bornheim
173,Gronau (Westf.)
174,Straubing
175,Singen (Hohentwiel)
176,Stade
177,Soest
178,Dachau
179,Hennef (Sieg)
180,Alsdorf
181,Lahr/Schwarzwald
182,Landau in der Pfalz
183,Dülmen
